Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,666,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,665,12,T:System.Windows.Forms.GroupBox,,,,,this.gbTSPrinting.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,665,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.gbTSPrinting.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,664,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudTSSeed)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,663,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudTSWidth)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,662,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudTSHeight)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,661,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudTSScale)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,660,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudTSLatitude)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,659,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudTSLongitude)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,658,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudTSInitialAltitude)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,657,12,T:System.Windows.Forms.GroupBox,,,,,this.groupBox1.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,657,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.groupBox1.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,656,12,T:System.Windows.Forms.PictureBox,,,,,((System.ComponentModel.ISupportInitialize)(this.pbTSResult)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,655,12,T:System.Windows.Forms.TabPage,,,,,this.tpTetraSubd.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,655,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.tpTetraSubd.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,654,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudSDDetail)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,653,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudSDRoughness)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,652,12,T:System.Windows.Forms.NumericUpDown,,,,,((System.ComponentModel.ISupportInitialize)(this.nudSDSeed)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,651,12,T:System.Windows.Forms.GroupBox,,,,,this.gbSDParameters.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,651,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.gbSDParameters.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,650,12,T:System.Windows.Forms.PictureBox,,,,,((System.ComponentModel.ISupportInitialize)(this.pbSDResult)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,649,12,T:System.Windows.Forms.TabPage,,,,,this.tpSquaredDiamond.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,649,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.tpSquaredDiamond.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,648,12,T:System.Windows.Forms.TabControl,,,,,this.tcAlgorithms.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Forms\WorldGen.Forms.NetForm\WorldGen.Forms.NetForm.csproj,File,Forms\WorldGen.Forms.NetForm\Form1.Designer.cs,648,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.tcAlgorithms.ResumeLayout(false);
